Pathway,MM1,MM2,MM3,MM4,MV1,MV2,MV3,UM1,UM2,UM3,UM4,UM5
PWY-7124: ethylene biosynthesis V (engineered),0,0,0,1,0,0,0,0,0,0,0,0
PWY-7130: L-glucose degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7136: &beta; myrcene degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7138: noscapine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7154: ergosterol biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7155: 7-dehydroporiferasterol biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7159: chlorophyllide a biosynthesis III (aerobic, light independent)",0,0,0,0,0,0,0,0,0,0,0,0
PWY-7165: L-ascorbate biosynthesis VI (engineered pathway),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7169: hyperxanthone E biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7174: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation II,0,0,0,3,0,0,0,0,0,0,0,0
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I,100,100,97,98,100,99,98,100,100,100,100,100
PWY-7185: UTP and CTP dephosphorylation I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7196: superpathway of pyrimidine ribonucleosides salvage,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation,100,0,91,99,0,99,100,0,100,0,0,100
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV,0,0,0,97,0,0,0,0,0,0,0,0
PWY-7199: pyrimidine deoxyribonucleosides salvage,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7204: pyridoxal 5'-phosphate salvage II (plants),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7208: superpathway of pyrimidine nucleobases salvage,21,19,62,8,53,77,57,37,1,16,30,31
PWY-7209: superpathway of pyrimidine ribonucleosides degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP,100,100,95,97,100,99,96,100,100,100,100,100
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,55,52,86,27,84,93,82,73,3,46,66,67
PWY-7212: baicalein metabolism,100,100,100,100,100,99,100,100,100,100,100,100
PWY-7218: photosynthetic 3-hydroxybutanoate biosynthesis (engineered),0,0,0,3,0,0,3,0,0,0,0,0
PWY-7219: adenosine ribonucleotides de novo biosynthesis,100,100,95,95,100,99,96,100,100,100,100,100
PWY-722: nicotinate degradation I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7221: guanosine ribonucleotides de novo biosynthesis,100,100,100,100,100,100,100,100,100,100,100,100
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I,100,100,100,100,100,100,100,100,100,100,100,100
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7230: ubiquinol-6 biosynthesis from 4-aminobenzoate (eukaryotic),100,100,97,97,100,96,81,100,100,100,100,100
PWY-7233: ubiquinol-6 bypass biosynthesis (eukaryotic),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7234: inosine-5'-phosphate biosynthesis III,0,0,0,13,0,0,0,0,0,0,0,0
PWY-7235: superpathway of ubiquinol-6 biosynthesis (eukaryotic),0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7237: myo-, chiro- and scillo-inositol degradation",100,100,100,100,100,100,100,100,100,100,100,100
PWY-7238: sucrose biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",97,96,74,73,96,84,75,96,93,92,95,94
PWY-7242: D-fructuronate degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7245: superpathway NAD/NADP - NADH/NADPH interconversion (yeast),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7248: pectin degradation III,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7254: TCA cycle VII (acetate-producers),0,0,0,3,0,0,0,0,0,0,0,0
PWY-7268: NAD/NADP-NADH/NADPH cytosolic interconversion (yeast),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7270: L-methionine salvage cycle II (plants),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7274: D-cycloserine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7277: sphingolipid biosynthesis (mammals),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7279: aerobic respiration II (cytochrome c) (yeast),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7286: 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7288: fatty acid &beta;-oxidation (peroxisome, yeast)",0,0,0,0,0,0,0,0,0,0,0,0
PWY-7289: L-cysteine biosynthesis V,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7294: xylose degradation IV,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7295: L-arabinose degradation IV,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7300: ecdysone and 20-hydroxyecdysone biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7301: dTDP-&beta;-L-noviose biosynthesis,83,51,77,88,84,64,76,76,81,75,97,79
PWY-7303: 3-dimethylallyl-4-hydroxybenzoate biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7312: dTDP-D-&beta;-fucofuranose biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7315: dTDP-N-acetylthomosamine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7316: dTDP-N-acetylviosamine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7317: superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,78,40,41,53,59,43,39,39,32,44,71,54
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7337: 10-cis-heptadecenoyl-CoA degradation (yeast),0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7338: 10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)",0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7339: 10-trans-heptadecenoyl-CoA degradation (MFE-dependent, yeast)",0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7340: 9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)",0,0,0,0,0,0,0,0,0,0,0,0
PWY-7341: superpathway of hyoscyamine and scopolamine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7342: superpathway of nicotine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7345: superpathway of anaerobic sucrose degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7347: sucrose biosynthesis III,0,0,0,0,0,0,0,0,0,0,0,0
PWY-735: jasmonic acid biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast),0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II",0,0,0,0,0,0,0,0,0,0,0,0
PWY-7373: superpathway of demethylmenaquinol-6 biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7374: 1,4-dihydroxy-6-naphthoate biosynthesis I",0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7376: cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)",0,0,0,0,0,0,0,0,0,0,0,0
PWY-7379: mRNA capping II,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",58,50,46,53,61,12,33,34,18,19,15,29
"PWY-7384: anaerobic energy metabolism (invertebrates, mitochondrial)",0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7385: 1,3-propanediol biosynthesis (engineered)",0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)",0,0,2,17,0,0,1,0,0,2,0,0
PWY-7389: superpathway of anaerobic energy metabolism (invertebrates),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7391: isoprene biosynthesis II (engineered),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7392: taxadiene biosynthesis (engineered),0,9,49,0,44,27,44,0,0,0,8,0
PWY-7395: D-galactosamine and N-acetyl-D-galactosamine degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7396: butanol and isobutanol biosynthesis (engineered),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7397: naringenin biosynthesis (engineered),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7398: coumarins biosynthesis (engineered),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7400: L-arginine biosynthesis IV (archaebacteria),0,0,0,2,0,1,0,0,0,0,0,0
PWY-7401: crotonate fermentation (to acetate and cyclohexane carboxylate),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7405: aurachin RE biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7407: aurachin A, B, C and D biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)",0,0,0,0,0,0,0,0,0,0,0,0
PWY-7411: superpathway of phosphatidate biosynthesis (yeast),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7412: mycinamicin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7413: dTDP-6-deoxy-&alpha;-D-allose biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7419: FR-900098 and FR-33289 antibiotics biosynthesis,0,0,0,0,0,8,1,0,0,0,0,0
PWY-7420: monoacylglycerol metabolism (yeast),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7431: aromatic biogenic amine degradation (bacteria),0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7432: L-phenylalanine biosynthesis III (cytosolic, plants)",43,53,23,29,40,65,47,24,7,19,39,60
PWY-7433: mucin core 1 and core 2 O-glycosylation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7434: terminal O-glycans residues modification,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7438: superpathway of dTDP-glucose-derived antibiotic building blocks biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis,100,100,100,98,100,99,98,100,100,100,100,100
PWY-7456: mannan degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7476: superpathway avenacin A biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7480: 2,3-dihydroxybenzoate degradation",0,0,0,3,0,0,1,0,0,0,0,0
PWY-7490: patulin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7510: rhizocticin A and B biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7517: brassicicene C biosynthesis,0,39,51,18,0,51,59,24,19,33,73,45
PWY-7523: L-arginine degradation XII,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7527: L-methionine salvage cycle III,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7528: L-methionine salvage cycle I (bacteria and plants),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7533: gliotoxin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7555: &alpha;-cyclopiazonate biosynthesis,100,100,100,99,100,100,100,100,100,100,100,100
PWY-7557: dehydrodiconiferyl alcohol degradation,100,100,99,99,100,100,98,100,100,100,100,100
PWY-7560: methylerythritol phosphate pathway II,99,99,81,84,98,94,87,97,92,99,98,99
PWY-7571: ferrichrome A biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7574: propanoyl-CoA degradation II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7575: superpathway of candicidin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7579: phycourobilin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7592: arachidonate biosynthesis III (metazoa),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7596: superpathway of stearidonate biosynthesis (cyanobacteria),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7601: arachidonate biosynthesis IV (8-detaturase),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7602: icosapentaenoate biosynthesis V (&Delta;8 desaturase),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7606: docosahexaenoate biosynthesis III (mammals),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7616: methanol oxidation to carbon dioxide,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7619: juniperonate biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7636: astaxanthin biosynthesis (flowering plants),0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7654: (8E,10E)-dodeca-8,10-dienol biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0
PWY-7656: Spodoptera littoralis pheromone biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7657: dTDP-&beta;-L-digitoxose biosynthesis,100,100,99,97,100,99,96,100,100,100,100,100
PWY-7659: viridicatumtoxin biosynthesis,62,61,68,33,69,66,73,65,35,60,73,74
PWY-7663: gondoate biosynthesis (anaerobic),100,100,100,100,100,100,98,100,100,100,100,100
PWY-7664: oleate biosynthesis IV (anaerobic),0,0,17,32,0,61,0,0,0,0,0,0
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),0,0,0,1,0,0,0,0,0,0,0,0
PWY-841: superpathway of purine nucleotides de novo biosynthesis I,37,22,24,37,1,29,9,14,1,7,36,24
PWY-922: mevalonate pathway I,0,0,0,0,0,0,0,0,0,0,0,0
PWY0-1061: superpathway of L-alanine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY0-1261: anhydromuropeptides recycling,0,0,0,0,0,0,0,0,0,0,0,0
PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY0-1296: purine ribonucleosides degradation,7,3,0,43,0,9,28,2,0,2,0,0
PWY0-1297: superpathway of purine deoxyribonucleosides degradation,10,5,0,46,1,14,22,2,0,3,0,0
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY0-1319: CDP-diacylglycerol biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY0-1338: polymyxin resistance,0,0,0,0,0,0,0,0,0,0,0,0
PWY0-1415: superpathway of heme biosynthesis from uroporphyrinogen-III,0,0,0,0,0,0,0,0,0,0,0,0
PWY0-1479: tRNA processing,0,0,0,0,0,0,0,0,0,0,0,0
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing),0,0,0,6,0,0,1,0,0,0,0,0
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis,38,35,78,16,72,88,70,57,2,30,49,50
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),100,100,96,99,100,100,99,100,100,100,100,100
"PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)",0,0,0,0,0,0,0,0,0,0,0,0
PWY0-321: phenylacetate degradation I (aerobic),0,0,0,0,0,0,0,0,0,0,0,0
PWY0-41: allantoin degradation IV (anaerobic),0,0,0,0,0,0,0,0,0,0,0,0
PWY0-42: 2-methylcitrate cycle I,0,0,0,0,0,0,0,0,0,0,0,0
PWY0-781: aspartate superpathway,0,0,0,1,0,0,0,0,0,0,0,0
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,0,0,0,0,0,0,0,0,0,0,0,0
PWY0-862: (5Z)-dodec-5-enoate biosynthesis,0,0,8,17,0,40,0,0,0,0,0,0
PWY0-881: superpathway of fatty acid biosynthesis I (E. coli),0,0,0,0,0,0,0,0,0,0,0,0
PWY1F-823: leucopelargonidin and leucocyanidin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY1F-FLAVSYN: flavonoid biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY1G-0: mycothiol biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY3DJ-35471: L-ascorbate biosynthesis IV,0,0,0,0,0,0,0,0,0,0,0,0
PWY3O-1109: superpathway of 4-hydroxybenzoate biosynthesis (yeast),0,0,0,0,0,0,0,0,0,0,0,0
PWY3O-19: ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic),0,0,0,0,0,0,0,0,0,0,0,0
PWY3O-355: stearate biosynthesis III (fungi),0,0,0,0,0,0,0,0,0,0,0,0
PWY490-3: nitrate reduction VI (assimilatory),0,0,0,0,0,0,0,0,0,0,0,0
PWY4FS-3: phosphatidylcholine biosynthesis III,0,0,0,0,0,0,0,0,0,0,0,0
PWY4FS-4: phosphatidylcholine biosynthesis IV,0,0,0,0,0,0,0,0,0,0,0,0
PWY4FS-5: superpathway of phosphatidylcholine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY4FS-6: phosphatidylethanolamine biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic),0,0,0,0,0,0,0,0,0,0,0,0
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic),0,0,0,0,0,0,0,0,0,0,0,0
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii),0,0,0,0,0,0,0,0,0,0,0,0
PWY5F9-12: biphenyl degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY66-201: nicotine degradation IV,0,0,0,0,0,0,0,0,0,0,0,0
PWY66-367: ketogenesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY66-373: sucrose degradation V (sucrose &alpha;-glucosidase),0,0,0,0,0,0,0,0,0,0,0,0
PWY66-374: C20 prostanoid biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY66-375: leukotriene biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY66-378: androgen biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY66-387: fatty acid &alpha;-oxidation II,100,93,90,49,98,81,72,30,96,54,94,79
PWY66-388: fatty acid &alpha;-oxidation III,0,0,0,0,0,0,86,0,0,0,0,0
PWY66-389: phytol degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY66-391: fatty acid &beta;-oxidation VI (peroxisome),0,0,0,0,0,0,0,0,0,0,0,0
PWY66-398: TCA cycle III (animals),85,91,89,80,96,68,69,87,86,95,96,89
PWY66-399: gluconeogenesis III,99,99,98,95,100,95,93,100,100,99,100,100
PWY66-400: glycolysis VI (metazoan),0,0,0,0,0,0,0,0,0,0,0,0
PWY66-409: superpathway of purine nucleotide salvage,0,0,0,5,0,0,0,0,0,0,0,0
PWY66-422: D-galactose degradation V (Leloir pathway),0,0,0,0,0,0,0,0,0,0,0,0
PWY66-425: L-lysine degradation II (L-pipecolate pathway),0,0,0,0,0,0,0,0,0,0,0,0
PWY6666-2: dopamine degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWYG-321: mycolate biosynthesis,100,100,100,100,100,100,98,100,100,100,100,100
PWYQT-4472: glucosinolate biosynthesis from trihomomethionine,0,0,0,0,0,0,0,0,0,0,0,0
PWYQT-4473: glucosinolate biosynthesis from tetrahomomethionine,0,0,0,0,0,0,0,0,0,0,0,0
PWYQT-4474: glucosinolate biosynthesis from pentahomomethionine,0,0,0,0,0,0,0,0,0,0,0,0
PWYQT-4475: glucosinolate biosynthesis from hexahomomethionine,0,0,0,0,0,0,0,0,0,0,0,0
PYRIDNUCSAL-PWY: NAD salvage pathway I,0,0,0,0,0,0,0,0,0,0,0,0
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate),4,1,10,31,15,9,37,7,1,4,0,0
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I,0,0,0,3,0,0,4,0,0,0,0,0
REDCITCYC: TCA cycle VIII (helicobacter),0,0,0,0,0,0,0,0,0,0,0,0
RHAMCAT-PWY: L-rhamnose degradation I,0,0,0,0,0,0,0,0,0,0,0,0
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants),0,0,1,2,0,0,5,0,0,0,0,0
RUMP-PWY: formaldehyde oxidation I,0,0,0,0,0,0,0,0,0,0,0,0
SALVADEHYPOX-PWY: adenosine nucleotides degradation II,43,47,35,46,76,29,22,59,52,58,31,54
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I,9,16,34,77,2,0,32,13,7,1,38,2
SO4ASSIM-PWY: sulfate reduction I (assimilatory),0,0,0,8,0,0,2,0,0,0,0,0
SPHINGOLIPID-SYN-PWY: sphingolipid biosynthesis (yeast),0,0,0,0,0,0,0,0,0,0,0,0
SUCROSEUTIL2-PWY: sucrose degradation VII (sucrose 3-dehydrogenase),1,3,3,25,1,1,0,0,0,0,0,0
SUCSYN-PWY: sucrose biosynthesis I (from photosynthesis),0,0,0,0,0,0,0,0,0,0,0,0
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis,0,0,1,15,0,0,5,0,0,0,0,0
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA,0,0,0,8,0,0,0,0,0,0,0,0
TCA: TCA cycle I (prokaryotic),100,100,100,99,100,100,100,100,100,100,100,100
TEICHOICACID-PWY: teichoic acid (poly-glycerol) biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
THISYN-PWY: superpathway of thiamin diphosphate biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes),0,0,0,0,0,0,1,0,0,0,0,0
THREOCAT-PWY: superpathway of L-threonine metabolism,0,0,0,0,0,0,0,0,0,0,0,0
THRESYN-PWY: superpathway of L-threonine biosynthesis,95,93,66,72,93,85,79,94,89,88,92,90
TRIGLSYN-PWY: diacylglycerol and triacylglycerol biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
TRNA-CHARGING-PWY: tRNA charging,100,100,100,99,100,100,99,100,100,100,100,100
TRPSYN-PWY: L-tryptophan biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
TRYPTOPHAN-DEGRADATION-1: L-tryptophan degradation III (eukaryotic),0,0,0,0,0,0,0,0,0,0,0,0
TYRFUMCAT-PWY: L-tyrosine degradation I,0,0,0,3,0,0,0,0,0,0,0,0
UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (prokaryotic),0,0,0,0,0,0,0,0,0,0,0,0
UDPNACETYLGALSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I,100,100,97,99,100,99,98,100,100,100,100,100
URDEGR-PWY: superpathway of allantoin degradation in plants,0,0,0,0,0,0,0,0,0,0,0,0
URSIN-PWY: ureide biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
VALDEG-PWY: L-valine degradation I,0,0,0,0,0,0,0,0,0,0,0,0
VALSYN-PWY: L-valine biosynthesis,100,100,100,100,100,100,100,100,100,100,100,100
ERGOSTEROL-SYN-PWY: superpathway of ergosterol biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-2083: isoflavonoid biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5507: adenosylcobalamin biosynthesis I (early cobalt insertion),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5679: clavulanate biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6074: zymosterol biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6143: CMP-pseudaminate biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6148: tetrahydromethanopterin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6344: L-ornithine degradation II (Stickland reaction),0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6358: superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism",0,0,0,0,0,0,0,0,0,0,0,0
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6915: pentalenolactone biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7128: nicotine degradation III (VPP pathway),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7156: superpathway of ergosterol biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7224: purine deoxyribonucleosides salvage,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7377: cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)",0,0,0,0,0,0,0,0,0,0,0,0
PWY-7426: mannosyl-glycoprotein N-acetylglucosaminyltransferases,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7436: vitamin E biosynthesis (tocotrienols),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7446: sulfoglycolysis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-882: L-ascorbate biosynthesis I (L-galactose pathway),0,0,0,0,0,0,0,0,0,0,0,0
PWY66-341: cholesterol biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
PWY66-382: mineralocorticoid biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY66-4: cholesterol biosynthesis III (via desmosterol),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6558: heparan sulfate biosynthesis (late stages),0,0,0,0,0,0,0,0,0,0,0,0
PWY66-301: catecholamine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7119: sphingolipid recycling and degradation (yeast),0,0,0,0,0,0,0,0,0,0,0,0
PWY-2229: superpathway of pterocarpan biosynthesis (via formononetin),0,0,0,0,0,0,0,0,0,0,0,0
PWY-3581: (S)-reticuline biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5292: vindoline and vinblastine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5301: ajmaline and sarpagine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5717: superpathway of formononetin derivative biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6365: D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0
PWY-7283: wybutosine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7305: superpathway of steroid hormone biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
